time,tst-15.1,tst-15.2,tst-15.3,tst-15.4,tst-15.5,tst-15.6,tst-15.7,tst-15.8,tst-15.9,tst-15.10,tst-15.11,tst-15.12,tst-15.13,tst-15.14
47,0.00041767,0.000435094,0.000546362,0.000586599,0.000736443,0.000810713,0.000975795,0.001090026,0.001243899,0.001399346,0.002626017,0.00298437,0.003883305,0.004403462
48,0.0004177,0.000435115,0.00054661,0.000586873,0.000737896,0.000812404,0.000980054,0.001094995,0.001252427,0.00140926,0.002663794,0.003028022,0.003949505,0.004479101
49,0.000417669,0.000435082,0.000546782,0.000587075,0.000739209,0.000813953,0.000984082,0.001099703,0.001260634,0.001418816,0.002701096,0.0030711,0.004015355,0.004554421
50,0.000417618,0.000435041,0.00054692,0.00058725,0.000740421,0.000815396,0.000987917,0.00110419,0.001268558,0.001428046,0.002737936,0.003113638,0.004080896,0.004629445
51,0.000417623,0.000435048,0.000547089,0.000587445,0.000741596,0.000816776,0.000991616,0.001108509,0.001276253,0.001436998,0.002774334,0.003155689,0.004146155,0.004704182
52,0.000417645,0.000435062,0.000547254,0.000587626,0.00074271,0.000818072,0.00099516,0.001112642,0.001283704,0.001445661,0.002810305,0.003197253,0.004211121,0.004778645
53,0.000417616,0.000435033,0.000547362,0.000587754,0.000743715,0.00081926,0.000998511,0.001116562,0.001290878,0.001454015,0.002845856,0.003238315,0.004275762,0.004852821
54,0.000417573,0.000434998,0.000547446,0.000587863,0.000744642,0.000820367,0.001001704,0.001120298,0.001297806,0.001462085,0.002881,0.003278903,0.004340098,0.004926703
55,0.000417576,0.000435003,0.000547557,0.000587991,0.000745543,0.000821424,0.001004781,0.001123892,0.001304531,0.001469908,0.002915752,0.003319057,0.004404132,0.005000271
56,0.000417592,0.000435012,0.000547668,0.00058811,0.000746397,0.000822418,0.001007729,0.001127331,0.001311042,0.001477478,0.002950124,0.003358776,0.004467843,0.005073514
57,0.000417567,0.000434987,0.000547734,0.000588189,0.000747166,0.000823329,0.001010518,0.001130594,0.001317313,0.001484779,0.002984119,0.003398046,0.004531191,0.0051464
58,0.00041753,0.000434957,0.000547783,0.000588256,0.000747875,0.000824177,0.001013175,0.001133704,0.00132337,0.001491833,0.003017743,0.003436881,0.004594183,0.005218902
59,0.000417531,0.00043496,0.000547856,0.000588339,0.000748566,0.000824988,0.001015736,0.001136695,0.001329247,0.001498668,0.003051002,0.003475308,0.004656813,0.005290988
60,0.000417543,0.000434967,0.00054793,0.000588417,0.00074922,0.00082575,0.001018188,0.001139557,0.001334936,0.001505282,0.003083902,0.003513319,0.004719059,0.00536264
61,0.000417521,0.000434945,0.000547969,0.000588465,0.000749808,0.000826448,0.001020509,0.001142272,0.001340417,0.001511662,0.003116442,0.0035509,0.004780887,0.005433824
62,0.00041749,0.00043492,0.000547996,0.000588504,0.000750351,0.000827098,0.00102272,0.001144862,0.001345712,0.001517827,0.00314862,0.003588059,0.004842304,0.005504519
